"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","3.18 (±1.733)","[1.896, 4.464]",-28.82,-90.062,28.864,28.82
"IPSW","7.961 (±1.912)","[6.545, 9.377]",-24.039,-75.122,24.104,24.039
"IPSW.norm","13.403 (±2.726)","[11.384, 15.422]",-18.597,-58.116,18.768,18.597
"IPSW.strat.n.2","19.956 (±4.115)","[16.908, 23.004]",-12.044,-37.638,12.632,12.044
"IPSW.strat.n.3","17.584 (±9.563)","[10.5, 24.668]",-14.416,-45.05,16.917,15.513
"IPSW.strat.n.4","17.751 (±7.908)","[11.893, 23.609]",-14.249,-44.528,16.02,14.37
"IPSW.strat.n.5","13.354 (±4.513)","[10.011, 16.697]",-18.646,-58.269,19.108,18.646
"IPSW.strat.n.6","15.207 (±5.474)","[11.152, 19.262]",-16.793,-52.478,17.541,16.793
"IPSW.strat.n.7","15.146 (±6.087)","[10.637, 19.655]",-16.854,-52.669,17.772,16.854
"IPSW.strat.n.8","15.67 (±5.643)","[11.49, 19.85]",-16.33,-51.031,17.145,16.33
"IPSW.strat.n.9","13.868 (±5.373)","[9.888, 17.848]",-18.132,-56.662,18.802,18.132
"IPSW.strat.n.10","13.671 (±4.971)","[9.988, 17.354]",-18.329,-57.278,18.898,18.329
"G.formula","11.721 (±4.316)","[8.524, 14.918]",-20.279,-63.372,20.669,20.279
